FKL15A,ICD10_Text,Kategori
O34,O34 Maternal care for known or suspected abnormality of pelvic organs,Penyakit Lainnya
O35,O35 Maternal care for known or suspected fetal abnormality and damage,Penyakit Lainnya
O36,O36 Maternal care for other known or suspected fetal problems,Penyakit Lainnya
O40,O40 Polyhydramnios,Penyakit Lainnya
O41,O41 Other disorders of amniotic fluid and membranes,Penyakit Lainnya
O42,O42 Premature rupture of membranes,Penyakit Lainnya
O43,O43 Placental disorders,Penyakit Lainnya
O44,O44 Placenta praevia,Penyakit Lainnya
O45,O45 Premature separation of placenta [abruptio placentae],Penyakit Lainnya
O46,"O46 Antepartum haemorrhage, not elsewhere classified",Penyakit Lainnya
O47,O47 False labour,Penyakit Lainnya
O48,O48 Prolonged pregnancy,Penyakit Lainnya
O60,O60 Preterm labour and delivery,Persalinan
O61,O61 Failed induction of labour,Persalinan
O62,O62 Abnormalities of forces of labour,Persalinan
O63,O63 Long labour,Persalinan
O64,O64 Obstructed labour due to malposition and malpresentation of fetus,Persalinan
O65,O65 Obstructed labour due to maternal pelvic abnormality,Persalinan
O66,O66 Other obstructed labour,Persalinan
O67,"O67 Labour and delivery complicated by intrapartum haemorrhage, not elsewhere classified",Persalinan
O68,O68 Labour and delivery complicated by fetal stress [distress],Persalinan
O69,O69 Labour and delivery complicated by umbilical cord complications,Persalinan
O70,O70 Perineal laceration during delivery,Persalinan
O71,O71 Other obstetric trauma,Persalinan
O72,O72 Postpartum haemorrhage,Persalinan
O73,"O73 Retained placenta and membranes, without haemorrhage",Persalinan
O75,"O75 Other complications of labour and delivery, not elsewhere classified",Persalinan
O80,O80 Single spontaneous delivery,Persalinan
O81,O81 Single delivery by forceps and vacuum extractor,Persalinan
O82,O82 Single delivery by caesarean section,Persalinan
O83,O83 Other assisted single delivery,Persalinan
O84,O84 Multiple delivery,Persalinan
O85,O85 Puerperal sepsis,Penyakit Lainnya
O86,O86 Other puerperal infections,Penyakit Lainnya
O87,O87 Venous complications and haemorrhoids in the puerperium,Penyakit Lainnya
O88,O88 Obstetric embolism,Penyakit Lainnya
O90,"O90 Complications of the puerperium, not elsewhere classified",Penyakit Lainnya
O91,O91 Infections of breast associated with childbirth,Penyakit Lainnya
O92,O92 Other disorders of breast and lactation associated with childbirth,Penyakit Lainnya
O95,O95 Obstetric death of unspecified cause,Penyakit Lainnya
O96,O96 Death from any obstetric cause occurring more than 42 days but less than one year after delivery,Penyakit Lainnya
O98,"O98 Maternal infectious and parasitic diseases classifiable elsewhere but complicating pregnancy, childbirth and the puerperium",Penyakit Lainnya
O99,"O99 Other maternal diseases classifiable elsewhere but complicating pregnancy, childbirth and the puerperium",Penyakit Lainnya
P00,P00 Fetus and newborn affected by maternal conditions that may be unrelated to present pregnancy,Penyakit Lainnya
P01,P01 Fetus and newborn affected by maternal complications of pregnancy,Penyakit Lainnya
P02,"P02 Fetus and newborn affected by complications of placenta, cord and membranes",Penyakit Lainnya
P03,P03 Fetus and newborn affected by other complications of labour and delivery,Penyakit Lainnya
P04,P04 Fetus and newborn affected by noxious influences transmitted via placenta or breast milk,Penyakit Lainnya
P05,P05 Slow fetal growth and fetal malnutrition,Penyakit Lainnya
P07,"P07 Disorders related to short gestation and low birth weight, not elsewhere classified",Penyakit Lainnya
P08,P08 Disorders related to long gestation and high birth weight,Penyakit Lainnya
P10,P10 Intracranial laceration and haemorrhage due to birth injury,Penyakit Lainnya
P11,P11 Other birth injuries to central nervous system,Penyakit Lainnya
P12,P12 Birth injury to scalp,Penyakit Lainnya
P13,P13 Birth injury to skeleton,Penyakit Lainnya
P14,P14 Birth injury to peripheral nervous system,Penyakit Lainnya
P15,P15 Other birth injuries,Penyakit Lainnya
P20,P20 Intrauterine hypoxia,Penyakit Lainnya
P21,P21 Birth asphyxia,Penyakit Lainnya
P22,P22 Respiratory distress of newborn,Penyakit Lainnya
P23,P23 Congenital pneumonia,Penyakit Lainnya
P24,P24 Neonatal aspiration syndromes,Penyakit Lainnya
P28,P28 Other respiratory conditions originating in the perinatal period,Penyakit Lainnya
P29,P29 Cardiovascular disorders originating in the perinatal period,Penyakit Lainnya
P35,P35 Congenital viral diseases,Penyakit Lainnya
P36,P36 Bacterial sepsis of newborn,Penyakit Lainnya
P37,P37 Other congenital infectious and parasitic diseases,Penyakit Lainnya
P38,P38 Omphalitis of newborn with or without mild haemorrhage,Penyakit Lainnya
P39,P39 Other infections specific to the perinatal period,Penyakit Lainnya
P50,P50 Fetal blood loss,Penyakit Lainnya
P51,P51 Umbilical haemorrhage of newborn,Penyakit Lainnya
P52,P52 Intracranial nontraumatic haemorrhage of fetus and newborn,Penyakit Lainnya
P54,P54 Other neonatal haemorrhages,Penyakit Lainnya
P55,P55 Haemolytic disease of fetus and newborn,Penyakit Lainnya
P57,P57 Kernicterus,Penyakit Lainnya
P58,P58 Neonatal jaundice due to other excessive haemolysis,Penyakit Lainnya
P59,P59 Neonatal jaundice from other and unspecified causes,Penyakit Lainnya
P61,P61 Other perinatal haematological disorders,Penyakit Lainnya
P70,P70 Transitory disorders of carbohydrate metabolism specific to fetus and newborn,Penyakit Lainnya
P71,P71 Transitory neonatal disorders of calcium and magnesium metabolism,Penyakit Lainnya
P72,P72 Other transitory neonatal endocrine disorders,Penyakit Lainnya
P74,P74 Other transitory neonatal electrolyte and metabolic disturbances,Penyakit Lainnya
P76,P76 Other intestinal obstruction of newborn,Penyakit Lainnya
P78,P78 Other perinatal digestive system disorders,Penyakit Lainnya
P80,P80 Hypothermia of newborn,Penyakit Lainnya
P81,P81 Other disturbances of temperature regulation of newborn,Penyakit Lainnya
P83,P83 Other conditions of integument specific to fetus and newborn,Penyakit Lainnya
P90,P90 Convulsions of newborn,Penyakit Lainnya
P92,P92 Feeding problems of newborn,Penyakit Lainnya
P94,P94 Disorders of muscle tone of newborn,Penyakit Lainnya
P95,P95 Fetal death of unspecified cause,Penyakit Lainnya
P96,P96 Other conditions originating in the perinatal period,Penyakit Lainnya
Q00,Q00 Anencephaly and similar malformations,Penyakit Lainnya
Q01,Q01 Encephalocele,Penyakit Lainnya
Q02,Q02 Microcephaly,Penyakit Lainnya
Q03,Q03 Congenital hydrocephalus,Penyakit Lainnya
Q04,Q04 Other congenital malformations of brain,Penyakit Lainnya
Q05,Q05 Spina bifida,Penyakit Lainnya
Q06,Q06 Other congenital malformations of spinal cord,Penyakit Lainnya
Q10,"Q10 Congenital malformations of eyelid, lacrimal apparatus and orbit",Penyakit Lainnya
Q11,"Q11 Anophthalmos, microphthalmos and macrophthalmos",Penyakit Lainnya
Q12,Q12 Congenital lens malformations,Penyakit Lainnya
Q13,Q13 Congenital malformations of anterior segment of eye,Penyakit Lainnya
Q15,Q15 Other congenital malformations of eye,Penyakit Lainnya
Q16,Q16 Congenital malformations of ear causing impairment of hearing,Penyakit Lainnya
Q17,Q17 Other congenital malformations of ear,Penyakit Lainnya
Q18,Q18 Other congenital malformations of face and neck,Penyakit Lainnya
Q20,Q20 Congenital malformations of cardiac chambers and connections,Penyakit Lainnya
Q21,Q21 Congenital malformations of cardiac septa,Penyakit Lainnya
Q22,Q22 Congenital malformations of pulmonary and tricuspid valves,Penyakit Lainnya
Q23,Q23 Congenital malformations of aortic and mitral valves,Penyakit Lainnya
Q24,Q24 Other congenital malformations of heart,Penyakit Lainnya
Q25,Q25 Congenital malformations of great arteries,Penyakit Lainnya
Q26,Q26 Congenital malformations of great veins,Penyakit Lainnya
Q27,Q27 Other congenital malformations of peripheral vascular system,Penyakit Lainnya
Q28,Q28 Other congenital malformations of circulatory system,Penyakit Lainnya
Q30,Q30 Congenital malformations of nose,Penyakit Lainnya
Q31,Q31 Congenital malformations of larynx,Penyakit Lainnya
Q33,Q33 Congenital malformations of lung,Penyakit Lainnya
Q35,Q35 Cleft palate,Penyakit Lainnya
Q36,Q36 Cleft lip,Penyakit Lainnya
Q37,Q37 Cleft palate with cleft lip,Penyakit Lainnya
Q38,"Q38 Other congenital malformations of tongue, mouth and pharynx",Penyakit Lainnya
Q40,Q40 Other congenital malformations of upper alimentary tract,Penyakit Lainnya
Q41,"Q41 Congenital absence, atresia and stenosis of small intestine",Penyakit Lainnya
Q42,"Q42 Congenital absence, atresia and stenosis of large intestine",Penyakit Lainnya
Q43,Q43 Other congenital malformations of intestine,Penyakit Lainnya
Q44,"Q44 Congenital malformations of gallbladder, bile ducts and liver",Penyakit Lainnya
Q45,Q45 Other congenital malformations of digestive system,Penyakit Lainnya
Q50,"Q50 Congenital malformations of ovaries, fallopian tubes and broad ligaments",Penyakit Lainnya
Q51,Q51 Congenital malformations of uterus and cervix,Penyakit Lainnya
Q52,Q52 Other congenital malformations of female genitalia,Penyakit Lainnya
Q53,Q53 Undescended testicle,Penyakit Lainnya
Q54,Q54 Hypospadias,Penyakit Lainnya
Q55,Q55 Other congenital malformations of male genital organs,Penyakit Lainnya
Q56,Q56 Indeterminate sex and pseudohermaphroditism,Penyakit Lainnya
Q61,Q61 Cystic kidney disease,Penyakit Lainnya
Q62,Q62 Congenital obstructive defects of renal pelvis and congenital malformations of ureter,Penyakit Lainnya
Q63,Q63 Other congenital malformations of kidney,Penyakit Lainnya
Q64,Q64 Other congenital malformations of urinary system,Penyakit Lainnya
Q65,Q65 Congenital deformities of hip,Penyakit Lainnya
Q66,Q66 Congenital deformities of feet,Penyakit Lainnya
Q67,"Q67 Congenital musculoskeletal deformities of head, face, spine and chest",Penyakit Lainnya
Q68,Q68 Other congenital musculoskeletal deformities,Penyakit Lainnya
Q69,Q69 Polydactyly,Penyakit Lainnya
Q70,Q70 Syndactyly,Penyakit Lainnya
Q72,Q72 Reduction defects of lower limb,Penyakit Lainnya
Q74,Q74 Other congenital malformations of limb(s),Penyakit Lainnya
Q75,Q75 Other congenital malformations of skull and face bones,Penyakit Lainnya
Q76,Q76 Congenital malformations of spine and bony thorax,Penyakit Lainnya
Q78,Q78 Other osteochondrodysplasias,Penyakit Lainnya
Q79,"Q79 Congenital malformations of the musculoskeletal system, not elsewhere classified",Penyakit Lainnya
Q80,Q80 Congenital ichthyosis,Penyakit Lainnya
Q81,Q81 Epidermolysis bullosa,Penyakit Lainnya
Q82,Q82 Other congenital malformations of skin,Penyakit Lainnya
Q83,Q83 Congenital malformations of breast,Penyakit Lainnya
Q85,"Q85 Phakomatoses, not elsewhere classified",Penyakit Lainnya
Q86,"Q86 Congenital malformation syndromes due to known exogenous causes, not elsewhere classified",Penyakit Lainnya
Q87,Q87 Other specified congenital malformation syndromes affecting multiple systems,Penyakit Lainnya
Q89,"Q89 Other congenital malformations, not elsewhere classified",Penyakit Lainnya
Q90,Q90 Down syndrome,Penyakit Lainnya
Q91,Q91 Edwards syndrome and Patau syndrome,Penyakit Lainnya
Q96,Q96 Turner syndrome,Penyakit Lainnya
R00,R00 Abnormalities of heart beat,Penyakit Lainnya
R01,R01 Cardiac murmurs and other cardiac sounds,Penyakit Lainnya
R02,"R02 Gangrene, not elsewhere classified",Penyakit Lainnya
R03,"R03 Abnormal blood-pressure reading, without diagnosis",Penyakit Lainnya
R04,R04 Haemorrhage from respiratory passages,Penyakit Lainnya
R05,R05 Cough,Penyakit Lainnya
R06,R06 Abnormalities of breathing,Penyakit Lainnya
R07,R07 Pain in throat and chest,Penyakit Lainnya
R09,R09 Other symptoms and signs involving the circulatory and respiratory systems,Penyakit Lainnya
R10,R10 Abdominal and pelvic pain,Penyakit Lainnya
R11,R11 Nausea and vomiting,Penyakit Lainnya
R12,R12 Heartburn,Penyakit Lainnya
R13,R13 Dysphagia,Penyakit Lainnya
R14,R14 Flatulence and related conditions,Penyakit Lainnya
R15,R15 Faecal incontinence,Penyakit Lainnya
R16,"R16 Hepatomegaly and splenomegaly, not elsewhere classified",Penyakit Lainnya
R17,R17 Unspecified jaundice,Penyakit Lainnya
R18,R18 Ascites,Penyakit Lainnya
R19,R19 Other symptoms and signs involving the digestive system and abdomen,Penyakit Lainnya
R20,R20 Disturbances of skin sensation,Penyakit Lainnya
R21,R21 Rash and other nonspecific skin eruption,Penyakit Lainnya
R22,"R22 Localized swelling, mass and lump of skin and subcutaneous tissue",Penyakit Lainnya
R23,R23 Other skin changes,Penyakit Lainnya
R25,R25 Abnormal involuntary movements,Penyakit Lainnya
R26,R26 Abnormalities of gait and mobility,Penyakit Lainnya
R27,R27 Other lack of coordination,Penyakit Lainnya
R29,R29 Other symptoms and signs involving the nervous and musculoskeletal systems,Penyakit Lainnya
R30,R30 Pain associated with micturition,Penyakit Lainnya
R31,R31 Unspecified haematuria,Penyakit Lainnya
R32,R32 Unspecified urinary incontinence,Penyakit Lainnya
R33,R33 Retention of urine,Penyakit Lainnya
R34,R34 Anuria and oliguria,Penyakit Lainnya
R35,R35 Polyuria,Penyakit Lainnya
R39,R39 Other symptoms and signs involving the urinary system,Penyakit Lainnya
R40,"R40 Somnolence, stupor and coma",Penyakit Lainnya
R41,R41 Other symptoms and signs involving cognitive functions and awareness,Penyakit Lainnya
R42,R42 Dizziness and giddiness,Penyakit Lainnya
R43,R43 Disturbances of smell and taste,Penyakit Lainnya
R46,R46 Symptoms and signs involving appearance and behaviour,Penyakit Lainnya
R47,"R47 Speech disturbances, not elsewhere classified",Penyakit Lainnya
R48,"R48 Dyslexia and other symbolic dysfunctions, not elsewhere classified",Penyakit Lainnya
R49,R49 Voice disturbances,Penyakit Lainnya
R50,R50 Fever of other and unknown origin,Penyakit Lainnya
R51,R51 Headache,Penyakit Lainnya
R52,"R52 Pain, not elsewhere classified",Penyakit Lainnya
R53,R53 Malaise and fatigue,Penyakit Lainnya
R54,R54 Senility,Penyakit Lainnya
R55,R55 Syncope and collapse,Penyakit Lainnya
R56,"R56 Convulsions, not elsewhere classified",Penyakit Lainnya
R57,"R57 Shock, not elsewhere classified",Penyakit Lainnya
R58,"R58 Haemorrhage, not elsewhere classified",Penyakit Lainnya
R59,R59 Enlarged lymph nodes,Penyakit Lainnya
R60,"R60 Oedema, not elsewhere classified",Penyakit Lainnya
R61,R61 Hyperhidrosis,Penyakit Lainnya
R62,R62 Lack of expected normal physiological development,Penyakit Lainnya
R63,R63 Symptoms and signs concerning food and fluid intake,Penyakit Lainnya
R64,R64 Cachexia,Penyakit Lainnya
R68,R68 Other general symptoms and signs,Penyakit Lainnya
R69,R69 Unknown and unspecified causes of morbidity,Penyakit Lainnya
R72,"R72 Abnormality of white blood cells, not elsewhere classified",Penyakit Lainnya
R73,R73 Elevated blood glucose level,Penyakit Lainnya
R74,R74 Abnormal serum enzyme levels,Penyakit Lainnya
R75,R75 Laboratory evidence of human immunodeficiency virus [HIV],Penyakit Lainnya
R77,R77 Other abnormalities of plasma proteins,Penyakit Lainnya
R79,R79 Other abnormal findings of blood chemistry,Penyakit Lainnya
R82,R82 Other abnormal findings in urine,Penyakit Lainnya
R90,R90 Abnormal findings on diagnostic imaging of central nervous system,Penyakit Lainnya
R91,R91 Abnormal findings on diagnostic imaging of lung,Penyakit Lainnya
R93,R93 Abnormal findings on diagnostic imaging of other body structures,Penyakit Lainnya
R94,R94 Abnormal results of function studies,Penyakit Lainnya
R96,"R96 Other sudden death, cause unknown",Penyakit Lainnya
R98,R98 Unattended death,Penyakit Lainnya
R99,R99 Other ill-defined and unspecified causes of mortality,Penyakit Lainnya
S00,S00 Superficial injury of head,Penyakit Lainnya
S01,S01 Open wound of head,Penyakit Lainnya
S02,S02 Fracture of skull and facial bones,Penyakit Lainnya
S03,"S03 Dislocation, sprain and strain of joints and ligaments of head",Penyakit Lainnya
S04,S04 Injury of cranial nerves,Penyakit Lainnya
S05,S05 Injury of eye and orbit,Penyakit Lainnya
S06,S06 Intracranial injury,Penyakit Lainnya
S07,S07 Crushing injury of head,Penyakit Lainnya
S08,S08 Traumatic amputation of part of head,Penyakit Lainnya
S09,S09 Other and unspecified injuries of head,Penyakit Lainnya
S10,S10 Superficial injury of neck,Penyakit Lainnya
S11,S11 Open wound of neck,Penyakit Lainnya
S12,S12 Fracture of neck,Penyakit Lainnya
S13,"S13 Dislocation, sprain and strain of joints and ligaments at neck level",Penyakit Lainnya
S14,S14 Injury of nerves and spinal cord at neck level,Penyakit Lainnya
S15,S15 Injury of blood vessels at neck level,Penyakit Lainnya
S16,S16 Injury of muscle and tendon at neck level,Penyakit Lainnya
S19,S19 Other and unspecified injuries of neck,Penyakit Lainnya
S20,S20 Superficial injury of thorax,Penyakit Lainnya
S21,S21 Open wound of thorax,Penyakit Lainnya
S22,"S22 Fracture of rib(s), sternum and thoracic spine",Penyakit Lainnya
S23,"S23 Dislocation, sprain and strain of joints and ligaments of thorax",Penyakit Lainnya
S24,S24 Injury of nerves and spinal cord at thorax level,Penyakit Lainnya
S25,S25 Injury of blood vessels of thorax,Penyakit Lainnya
S27,S27 Injury of other and unspecified intrathoracic organs,Penyakit Lainnya
S28,S28 Crushing injury of thorax and traumatic amputation of part of thorax,Penyakit Lainnya
S29,S29 Other and unspecified injuries of thorax,Penyakit Lainnya
S30,"S30 Superficial injury of abdomen, lower back and pelvis",Penyakit Lainnya
S31,"S31 Open wound of abdomen, lower back and pelvis",Penyakit Lainnya
S32,S32 Fracture of lumbar spine and pelvis,Penyakit Lainnya
S33,"S33 Dislocation, sprain and strain of joints and ligaments of lumbar spine and pelvis",Penyakit Lainnya
S34,"S34 Injury of nerves and lumbar spinal cord at abdomen, lower back and pelvis level",Penyakit Lainnya
S36,S36 Injury of intra-abdominal organs,Penyakit Lainnya
S37,S37 Injury of urinary and pelvic organs,Penyakit Lainnya
S38,"S38 Crushing injury and traumatic amputation of part of abdomen, lower back and pelvis",Penyakit Lainnya
S39,"S39 Other and unspecified injuries of abdomen, lower back and pelvis",Penyakit Lainnya
S40,S40 Superficial injury of shoulder and upper arm,Penyakit Lainnya
S41,S41 Open wound of shoulder and upper arm,Penyakit Lainnya
S42,S42 Fracture of shoulder and upper arm,Penyakit Lainnya
S43,"S43 Dislocation, sprain and strain of joints and ligaments of shoulder girdle",Penyakit Lainnya
S44,S44 Injury of nerves at shoulder and upper arm level,Penyakit Lainnya
S45,S45 Injury of blood vessels at shoulder and upper arm level,Penyakit Lainnya
S46,S46 Injury of muscle and tendon at shoulder and upper arm level,Penyakit Lainnya
S47,S47 Crushing injury of shoulder and upper arm,Penyakit Lainnya
S49,S49 Other and unspecified injuries of shoulder and upper arm,Penyakit Lainnya
S50,S50 Superficial injury of forearm,Penyakit Lainnya
S51,S51 Open wound of forearm,Penyakit Lainnya
S52,S52 Fracture of forearm,Penyakit Lainnya
S53,"S53 Dislocation, sprain and strain of joints and ligaments of elbow",Penyakit Lainnya
S54,S54 Injury of nerves at forearm level,Penyakit Lainnya
S55,S55 Injury of blood vessels at forearm level,Penyakit Lainnya
S56,S56 Injury of muscle and tendon at forearm level,Penyakit Lainnya
S57,S57 Crushing injury of forearm,Penyakit Lainnya
S59,S59 Other and unspecified injuries of forearm,Penyakit Lainnya
S60,S60 Superficial injury of wrist and hand,Penyakit Lainnya
S61,S61 Open wound of wrist and hand,Penyakit Lainnya
S62,S62 Fracture at wrist and hand level,Penyakit Lainnya
S63,"S63 Dislocation, sprain and strain of joints and ligaments at wrist and hand level",Penyakit Lainnya
S64,S64 Injury of nerves at wrist and hand level,Penyakit Lainnya
S65,S65 Injury of blood vessels at wrist and hand level,Penyakit Lainnya
S66,S66 Injury of muscle and tendon at wrist and hand level,Penyakit Lainnya
S67,S67 Crushing injury of wrist and hand,Penyakit Lainnya
S68,S68 Traumatic amputation of wrist and hand,Penyakit Lainnya
S69,S69 Other and unspecified injuries of wrist and hand,Penyakit Lainnya
S70,S70 Superficial injury of hip and thigh,Penyakit Lainnya
S71,S71 Open wound of hip and thigh,Penyakit Lainnya
S72,S72 Fracture of femur,Penyakit Lainnya
S73,"S73 Dislocation, sprain and strain of joint and ligaments of hip",Penyakit Lainnya
S74,S74 Injury of nerves at hip and thigh level,Penyakit Lainnya
S76,S76 Injury of muscle and tendon at hip and thigh level,Penyakit Lainnya
S79,S79 Other and unspecified injuries of hip and thigh,Penyakit Lainnya
S80,S80 Superficial injury of lower leg,Penyakit Lainnya
S81,S81 Open wound of lower leg,Penyakit Lainnya
S82,"S82 Fracture of lower leg, including ankle",Penyakit Lainnya
S83,"S83 Dislocation, sprain and strain of joints and ligaments of knee",Penyakit Lainnya
S84,S84 Injury of nerves at lower leg level,Penyakit Lainnya
S85,S85 Injury of blood vessels at lower leg level,Penyakit Lainnya
S86,S86 Injury of muscle and tendon at lower leg level,Penyakit Lainnya
S87,S87 Crushing injury of lower leg,Penyakit Lainnya
S88,S88 Traumatic amputation of lower leg,Penyakit Lainnya
S89,S89 Other and unspecified injuries of lower leg,Penyakit Lainnya
S90,S90 Superficial injury of ankle and foot,Penyakit Lainnya
S91,S91 Open wound of ankle and foot,Penyakit Lainnya
S92,"S92 Fracture of foot, except ankle",Penyakit Lainnya
S93,"S93 Dislocation, sprain and strain of joints and ligaments at ankle and foot level",Penyakit Lainnya
S94,S94 Injury of nerves at ankle and foot level,Penyakit Lainnya
S95,S95 Injury of blood vessels at ankle and foot level,Penyakit Lainnya
S96,S96 Injury of muscle and tendon at ankle and foot level,Penyakit Lainnya
S97,S97 Crushing injury of ankle and foot,Penyakit Lainnya
S98,S98 Traumatic amputation of ankle and foot,Penyakit Lainnya
S99,S99 Other and unspecified injuries of ankle and foot,Penyakit Lainnya
T00,T00 Superficial injuries involving multiple body regions,Penyakit Lainnya
T01,T01 Open wounds involving multiple body regions,Penyakit Lainnya
T02,T02 Fractures involving multiple body regions,Penyakit Lainnya
T03,"T03 Dislocations, sprains and strains involving multiple body regions",Penyakit Lainnya
T04,T04 Crushing injuries involving multiple body regions,Penyakit Lainnya
T05,T05 Traumatic amputations involving multiple body regions,Penyakit Lainnya
T06,"T06 Other injuries involving multiple body regions, not elsewhere classified",Penyakit Lainnya
T07,T07 Unspecified multiple injuries,Penyakit Lainnya
T08,"T08 Fracture of spine, level unspecified",Penyakit Lainnya
T09,"T09 Other injuries of spine and trunk, level unspecified",Penyakit Lainnya
T10,"T10 Fracture of upper limb, level unspecified",Penyakit Lainnya
T11,"T11 Other injuries of upper limb, level unspecified",Penyakit Lainnya
T12,"T12 Fracture of lower limb, level unspecified",Penyakit Lainnya
T13,"T13 Other injuries of lower limb, level unspecified",Penyakit Lainnya
T14,T14 Injury of unspecified body region,Penyakit Lainnya
T15,T15 Foreign body on external eye,Penyakit Lainnya
T16,T16 Foreign body in ear,Penyakit Lainnya
T17,T17 Foreign body in respiratory tract,Penyakit Lainnya
T18,T18 Foreign body in alimentary tract,Penyakit Lainnya
T19,T19 Foreign body in genitourinary tract,Penyakit Lainnya
T20,T20 Burn and corrosion of head and neck,Penyakit Lainnya
T21,T21 Burn and corrosion of trunk,Penyakit Lainnya
T22,"T22 Burn and corrosion of shoulder and upper limb, except wrist and hand",Penyakit Lainnya
T23,T23 Burn and corrosion of wrist and hand,Penyakit Lainnya
T24,"T24 Burn and corrosion of hip and lower limb, except ankle and foot",Penyakit Lainnya
T25,T25 Burn and corrosion of ankle and foot,Penyakit Lainnya
T26,T26 Burn and corrosion confined to eye and adnexa,Penyakit Lainnya
T29,T29 Burns and corrosions of multiple body regions,Penyakit Lainnya
T30,"T30 Burn and corrosion, body region unspecified",Penyakit Lainnya
T31,T31 Burns classified according to extent of body surface involved,Penyakit Lainnya
T32,T32 Corrosions classified according to extent of body surface involved,Penyakit Lainnya
T34,T34 Frostbite with tissue necrosis,Penyakit Lainnya
T35,T35 Frostbite involving multiple body regions and unspecified frostbite,Penyakit Lainnya
T36,T36 Poisoning by systemic antibiotics,Penyakit Lainnya
T37,T37 Poisoning by other systemic anti-infectives and antiparasitics,Penyakit Lainnya
T39,"T39 Poisoning by nonopioid analgesics, antipyretics and antirheumatics",Penyakit Lainnya
T41,T41 Poisoning by anaesthetics and therapeutic gases,Penyakit Lainnya
T44,T44 Poisoning by drugs primarily affecting the autonomic nervous system,Penyakit Lainnya
T45,"T45 Poisoning by primarily systemic and haematological agents, not elsewhere classified",Penyakit Lainnya
T49,"T49 Poisoning by topical agents primarily affecting skin and mucous membrane and by ophthalmological, otorhinolaryngological and dental drugs",Penyakit Lainnya
T50,"T50 Poisoning by diuretics and other and unspecified drugs, medicaments and biological substances",Penyakit Lainnya
T51,T51 Toxic effect of alcohol,Penyakit Lainnya
T52,T52 Toxic effect of organic solvents,Penyakit Lainnya
T56,T56 Toxic effect of metals,Penyakit Lainnya
T60,T60 Toxic effect of pesticides,Penyakit Lainnya
T61,T61 Toxic effect of noxious substances eaten as seafood,Penyakit Lainnya
T62,T62 Toxic effect of other noxious substances eaten as food,Penyakit Lainnya
T63,T63 Toxic effect of contact with venomous animals,Penyakit Lainnya
T64,T64 Toxic effect of aflatoxin and other mycotoxin food contaminants,Penyakit Lainnya
T65,T65 Toxic effect of other and unspecified substances,Penyakit Lainnya
T67,T67 Effects of heat and light,Penyakit Lainnya
T68,T68 Hypothermia,Penyakit Lainnya
T70,T70 Effects of air pressure and water pressure,Penyakit Lainnya
T71,T71 Asphyxiation,Penyakit Lainnya
T74,T74 Maltreatment syndromes,Penyakit Lainnya
T75,T75 Effects of other external causes,Penyakit Lainnya
T78,"T78 Adverse effects, not elsewhere classified",Penyakit Lainnya
T79,"T79 Certain early complications of trauma, not elsewhere classified",Penyakit Lainnya
T80,"T80 Complications following infusion, transfusion and therapeutic injection",Penyakit Lainnya
T81,"T81 Complications of procedures, not elsewhere classified",Penyakit Lainnya
T82,"T82 Complications of cardiac and vascular prosthetic devices, implants and grafts",Penyakit Lainnya
T83,"T83 Complications of genitourinary prosthetic devices, implants and grafts",Penyakit Lainnya
T84,"T84 Complications of internal orthopaedic prosthetic devices, implants and grafts",Penyakit Lainnya
T85,"T85 Complications of other internal prosthetic devices, implants and grafts",Penyakit Lainnya
T87,T87 Complications peculiar to reattachment and amputation,Penyakit Lainnya
T88,"T88 Other complications of surgical and medical care, not elsewhere classified",Penyakit Lainnya
T90,T90 Sequelae of injuries of head,Penyakit Lainnya
T91,T91 Sequelae of injuries of neck and trunk,Penyakit Lainnya
T92,T92 Sequelae of injuries of upper limb,Penyakit Lainnya
T93,T93 Sequelae of injuries of lower limb,Penyakit Lainnya
T94,T94 Sequelae of injuries involving multiple and unspecified body regions,Penyakit Lainnya
T95,"T95 Sequelae of burns, corrosions and frostbite",Penyakit Lainnya
T98,T98 Sequelae of other and unspecified effects of external causes,Penyakit Lainnya
Z00,Z00 General examination and investigation of persons without complaint and reported diagnosis,Penyakit Lainnya
Z01,Z01 Other special examinations and investigations of persons without complaint or reported diagnosis,Penyakit Lainnya
Z02,Z02 Examination and encounter for administrative purposes,Penyakit Lainnya
Z03,Z03 Medical observation and evaluation for suspected diseases and conditions,Penyakit Lainnya
Z04,Z04 Examination and observation for other reasons,Penyakit Lainnya
Z08,Z08 Follow-up examination after treatment for malignant neoplasms,Penyakit Lainnya
Z09,Z09 Follow-up examination after treatment for conditions other than malignant neoplasms,Penyakit Lainnya
Z10,Z10 Routine general health check-up of defined subpopulation,Penyakit Lainnya
Z11,Z11 Special screening examination for infectious and parasitic diseases,Penyakit Lainnya
Z12,Z12 Special screening examination for neoplasms,Penyakit Lainnya
Z13,Z13 Special screening examination for other diseases and disorders,Penyakit Lainnya
Z20,Z20 Contact with and exposure to communicable diseases,Penyakit Lainnya
Z21,Z21 Asymptomatic human immunodeficiency virus [HIV] infection status,Penyakit Lainnya
Z22,Z22 Carrier of infectious disease,Penyakit Lainnya
Z23,Z23 Need for immunization against single bacterial diseases,Penyakit Lainnya
Z24,Z24 Need for immunization against certain single viral diseases,Penyakit Lainnya
Z25,Z25 Need for immunization against other single viral diseases,Penyakit Lainnya
Z26,Z26 Need for immunization against other single infectious diseases,Penyakit Lainnya
